Name,Kingdom,Species,%identity,%cover,Length,Matches Percentage
AQP 9561,Bacteria,"Brachybacterium paraconglomeratum 99.28%
Brachybacterium conglomeratum 99.28%",99.28%,100.00%,691,"Brachybacterium paraconglomeratum 99.28%
Brachybacterium conglomeratum 99.28%
Brachybacterium saurashtrense 98.12%
Brachybacterium faecium DSM 4810 97.54%
Brachybacterium aquaticum 97.40%
Brachybacterium ginsengisoli 97.11%
Brachybacterium fresconis 96.96%
Brachybacterium zhongshanense 96.67%
Brachybacterium squillarum M-6-3 96.53%
Brachybacterium vulturis 96.53%
Brachybacterium alimentarium 97.32%
Brachybacterium hainanense 96.09%
Brachybacterium avium 97.01%
Brachybacterium nesterenkovii 96.09%
Brachybacterium muris 96.71%
Brachybacterium sacelli 96.70%
Brachybacterium tyrofermentans 96.57%
Brachybacterium huguangmaarense 95.51%
Brachybacterium rhamnosum 95.96%
Brachybacterium horti 95.68%"
AQP 9419,Bacteria,"Brachybacterium paraconglomeratum 99.36%
Brachybacterium conglomeratum 99.36%",99.36%,100.00%,782,"Brachybacterium paraconglomeratum 99.36%
Brachybacterium conglomeratum 99.36%
Brachybacterium saurashtrense 98.60%
Brachybacterium faecium DSM 4810 97.70%
Brachybacterium aquaticum 97.70%
Brachybacterium ginsengisoli 97.20%
Brachybacterium fresconis 97.19%
Brachybacterium zhongshanense 96.93%
Brachybacterium squillarum M-6-3 96.81%
Brachybacterium alimentarium 97.64%
Brachybacterium vulturis 96.55%
Brachybacterium hainanense 96.42%
Brachybacterium nesterenkovii 96.42%
Brachybacterium sacelli 97.23%
Brachybacterium muris 96.98%
Brachybacterium avium 96.98%
Brachybacterium huguangmaarense 95.91%
Brachybacterium tyrofermentans 96.72%
Brachybacterium phenoliresistens 95.28%
Brachybacterium rhamnosum 96.06%"
AQP 9528,Bacteria,"Brachybacterium paraconglomeratum 99.41%
Brachybacterium conglomeratum 99.41%",99.41%,100.00%,683,"Brachybacterium paraconglomeratum 99.41%
Brachybacterium conglomeratum 99.41%
Brachybacterium saurashtrense 98.54%
Brachybacterium faecium DSM 4810 97.66%
Brachybacterium squillarum M-6-3 97.51%
Brachybacterium alimentarium 97.52%
Brachybacterium aquaticum 97.51%
Brachybacterium hainanense 97.22%
Brachybacterium vulturis 97.22%
Brachybacterium fresconis 97.22%
Brachybacterium ginsengisoli 97.08%
Brachybacterium sacelli 96.93%
Brachybacterium zhongshanense 96.93%
Brachybacterium nesterenkovii 96.93%
Brachybacterium avium 96.78%
Brachybacterium muris 96.63%
Brachybacterium tyrofermentans 96.63%
Brachybacterium huguangmaarense 96.34%
Brachybacterium rhamnosum 96.19%
Brachybacterium phenoliresistens 96.05%"
AQP 9628,Bacteria,"Brachybacterium paraconglomeratum 99.75%
Brachybacterium conglomeratum 99.75%",99.75%,100.00%,810,"Brachybacterium paraconglomeratum 99.75%
Brachybacterium conglomeratum 99.75%
Brachybacterium saurashtrense 98.52%
Brachybacterium faecium DSM 4810 98.03%
Brachybacterium aquaticum 97.78%
Brachybacterium fresconis 97.41%
Brachybacterium ginsengisoli 97.40%
Brachybacterium squillarum M-6-3 97.16%
Brachybacterium zhongshanense 97.28%
Brachybacterium vulturis 97.04%
Brachybacterium alimentarium 96.92%
Brachybacterium hainanense 96.79%
Brachybacterium avium 96.54%
Brachybacterium muris 96.30%
Brachybacterium nesterenkovii 96.30%
Brachybacterium tyrofermentans 96.06%
Brachybacterium huguangmaarense 95.80%
Brachybacterium sacelli 97.03%
Brachybacterium rhamnosum 95.68%
Brachybacterium phenoliresistens 95.56%"
AQP 9380,Bacteria,Brevibacterium epidermidis,94.99%,99.84%,620,"Brevibacterium epidermidis 94.99%
Brevibacterium permense 94.35%
Brevibacterium sediminis 93.86%
Brevibacterium siliguriense 93.70%
Brevibacterium iodinum 93.71%"
AQP 9479,Bacteria,Castellaniella ginsengisoli,99.04%,100.00%,837,"Castellaniella ginsengisoli 99.04%
Castellaniella denitrificans 98.10%
Castellaniella caeni 97.61%
Castellaniella hirudinis 98.29%
Castellaniella daejeonensis 97.26%
Castellaniella defragrans 97.02%
Castellaniella fermenti 96.20%
Paralcaligenes ginsengisoli 95.27%
Pusillimonas caeni 95.12%
Parapusillimonas granuli 95.23%
Pusillimonas ginsengisoli 95.02%
Paracandidimonas soli 95.12%"
AQP 9553,Bacteria,Chromohalobacter canadensis,100.00%,100.00%,444,"Chromohalobacter canadensis 100.00%
Chromohalobacter japonicus 98.20%
Chromohalobacter marismortui 99.53%
Chromohalobacter sarecensis 97.52%
Chromohalobacter beijerinckii 97.30%
Chromohalobacter nigrandesensis 96.62%
Halomonas radicis 95.63%"
AQP 9525,Bacteria,"Chromohalobacter israelensis 100.00%
Chromohalobacter salexigens 100.00%",100.00%,99.75%,793,"Chromohalobacter israelensis 100.00%
Chromohalobacter salexigens DSM 3043 100.00%
Chromohalobacter nigrandesensis 97.60%
Chromohalobacter sarecensis 96.85%
Chromohalobacter beijerinckii 96.71%
Chromohalobacter canadensis 96.60%
Chromohalobacter marismortui 95.83%
Chromohalobacter japonicus 95.71%
Larsenimonas suaedae 95.44%
Salinicola peritrichatus 95.32%
Halomonas muralis 95.20%
Larsenimonas salina 95.19%"
AQP 9623,Bacteria,"Chromohalobacter israelensis 100.00%
Chromohalobacter salexigens 100.00%",100.00%,99.74%,764,"Chromohalobacter israelensis 100.00%
Chromohalobacter salexigens DSM 3043 100.00%
Chromohalobacter nigrandesensis 97.51%
Chromohalobacter sarecensis 96.99%
Chromohalobacter beijerinckii 96.59%
Chromohalobacter canadensis 96.47%
Chromohalobacter marismortui 95.67%
Salinicola peritrichatus 95.54%
Chromohalobacter japonicus 95.55%
Larsenimonas suaedae 95.28%
Halomonas muralis 95.28%
Larsenimonas salina 95.01%
Halomonas xianhensis 96.03%"
AQP 9529,Bacteria,"Chromohalobacter israelensis 98.99%
Chromohalobacter salexigens 98.99%",98.99%,100.00%,199,"Chromohalobacter israelensis 98.99%
Chromohalobacter salexigens DSM 3043 98.99%
Chromohalobacter beijerinckii 96.98%
Chromohalobacter nigrandesensis 94.00%
Chromohalobacter canadensis 93.50%"
AQP 9581,Bacteria,Clavibacter michiganensis,99.88%,100.00%,807,"Clavibacter michiganensis subsp. phaseoli 99.88%
Clavibacter michiganensis subsp. chilensis 99.88%
Clavibacter michiganensis subsp. californiensis 99.88%
Clavibacter michiganensis subsp. tessellarius 99.75%
Clavibacter michiganensis subsp. insidiosus 99.75%
Clavibacter michiganensis subsp. sepedonicus 99.63%
Clavibacter michiganensis 99.50%
Clavibacter michiganensis subsp. nebraskensis 99.50%
Clavibacter michiganensis subsp. capsici 99.75%
Leifsonia poae 95.80%
Agreia pratensis 95.66%
Cryobacterium arcticum 96.22%
Cryobacterium soli 95.55%
Agreia bicolorata 95.42%
Klugiella xanthotipulae 95.30%"
AQP 4209,Bacteria,"Cobetia litoralis 99.86%
Cobetia amphilecti 99.72%",99.86%,100.00%,709,"Cobetia litoralis 99.86%
Cobetia amphilecti 99.72%
Cobetia marina 99.01%
Cobetia pacifica 99.01%
Cobetia crustatorum 97.74%
Halomonas denitrificans 96.19%
Halomonas saccharevitans 95.63%
Halomonas aestuarii 95.49%
Halomonas maura 95.50%
Halomonas pacifica 95.20%
Halomonas taeanensis 95.44%"
AQP 9603,Bacteria,Corynebacterium casei,99.52%,100.00%,830,"Corynebacterium casei LMG S-19264 99.52%
Corynebacterium ammoniagenes 97.36%
Corynebacterium stationis 97.00%
Corynebacterium flavescens 95.23%
Corynebacterium epidermidicanis 94.96%"
AQP 9619,Bacteria,"Dietzia papillomatosis 99.86%
Dietzia cinnamea 99.86%",99.86%,100.00%,739,"Dietzia papillomatosis 99.86%
Dietzia cinnamea 99.86%
Dietzia aerolata 97.30%
Dietzia lutea 97.41%
Dietzia timorensis 97.02%
Dietzia aurantiaca 96.90%
Dietzia maris 96.77%
Dietzia kunjamensis subsp. schimae 96.64%
Dietzia kunjamensis 96.50%
Dietzia alimentaria 72 96.11%
Dietzia cercidiphylli 96.09%
Dietzia natronolimnaea 96.09%
Dietzia psychralcaliphila 95.96%
Rhodococcus subtropicus 95.27%
Rhodococcus hoagii 95.27%
Rhodococcus defluvii 95.14%
Aldersonia kunmingensis 95.13%"
AQP 9467,Bacteria,"Exiguobacterium acetylicum 99.61%
Exiguobacterium indicum 99.49%",99.61%,100.00%,779,"Exiguobacterium acetylicum 99.61%
Exiguobacterium indicum 99.49%
Exiguobacterium artemiae 97.56%
Exiguobacterium sibiricum 97.56%
Exiguobacterium oxidotolerans 97.56%
Exiguobacterium undae 96.79%
Exiguobacterium antarcticum DSM 14480 96.79%
Exiguobacterium soli 96.28%"
AQP 9596,Bacteria,"Feifantangia zhejiangensis 99.48%
Xanthomarina gelatinilytica 99.48%",99.48%,99.74%,773,"Feifantangia zhejiangensis 99.48%
Xanthomarina gelatinilytica 99.48%
Xanthomarina spongicola 95.99%
Bizionia arctica 94.81%
Bizionia berychis 94.03%"
AQP 9597,Bacteria,"Feifantangia zhejiangensis 99.51%
Xanthomarina gelatinilytica 99.51%",99.51%,100.00%,813,"Feifantangia zhejiangensis 99.51%
Xanthomarina gelatinilytica 99.51%
Xanthomarina spongicola 95.35%
Bizionia arctica 94.48%
Yeosuana aromativorans 93.86%"
AQP 9407,Bacteria,"Fictibacillus phosphorivorans 100.00%
Fictibacillus nanhaiensis 100.00%
Fictibacillus halophilus 99.87%",100.00%,100.00%,776,"Fictibacillus phosphorivorans 100.00%
Fictibacillus nanhaiensis 100.00%
Fictibacillus halophilus 99.87%
Fictibacillus barbaricus 98.97%
Fictibacillus aquaticus 98.58%
Fictibacillus iocasae 98.07%
Fictibacillus arsenicus 97.30%
Fictibacillus rigui 96.40%
Fictibacillus enclensis 96.61%
Fictibacillus solisalsi 95.90%"
AQP 9425,Bacteria,Flaviramulus ichthyoenteri,94.51%,100.00%,597,"Flaviramulus ichthyoenteri Th78 94.51%
Algibacter agarivorans 93.32%
Algibacter agarilyticus 92.65%
Aestuariibaculum marinum 92.63%
Mariniflexile soesokkakense 92.64%"
AQP 9421,Bacteria,Francisella philomiragia,99.88%,100.00%,814,"Francisella philomiragia 99.88%
Francisella philomiragia subsp. philomiragia ATCC 25015 99.88%
Francisella noatunensis 98.90%
Francisella orientalis 98.53%
Francisella hispaniensis FSC454 97.43%
Francisella tularensis subsp. novicida 97.31%
Francisella tularensis subsp. novicida U112 97.31%
Francisella tularensis subsp. mediasiatica FSC147 97.19%
Francisella tularensis subsp. mediasiatica 97.19%
Francisella tularensis 96.94%
Francisella salimarina 96.84%
Francisella halioticida 96.60%
Francisella persica 95.87%
Allofrancisella guangzhouensis 95.58%"
AQP 9429,Bacteria,Francisella philomiragia,99.88%,99.63%,809,"Francisella philomiragia 99.88%
Francisella philomiragia subsp. philomiragia ATCC 25015 99.88%
Francisella noatunensis 98.89%
Francisella orientalis 98.51%
Francisella hispaniensis FSC454 97.41%
Francisella tularensis subsp. novicida 97.28%
Francisella tularensis subsp. novicida U112 97.28%
Francisella salimarina 97.97%
Francisella tularensis subsp. mediasiatica FSC147 97.16%
Francisella tularensis subsp. mediasiatica 97.16%
Francisella halioticida 97.72%
Francisella tularensis 96.91%
Francisella persica 96.83%
Allofrancisella guangzhouensis 95.54%"
AQP 9450,Bacteria,Francisella philomiragia,99.87%,100.00%,788,"Francisella philomiragia 99.87%
Francisella philomiragia subsp. philomiragia ATCC 25015 99.87%
Francisella noatunensis 98.86%
Francisella orientalis 98.48%
Francisella hispaniensis FSC454 97.47%
Francisella tularensis subsp. novicida 97.35%
Francisella tularensis subsp. novicida U112 97.35%
Francisella tularensis 97.22%
Francisella tularensis subsp. mediasiatica FSC147 97.22%
Francisella tularensis subsp. mediasiatica 97.22%
Francisella salimarina 96.73%
Francisella halioticida 96.62%
Francisella persica 95.98%
Allofrancisella guangzhouensis 95.56%
Allofrancisella inopinata 95.08%"
AQP 9457,Bacteria,Francisella philomiragia,99.74%,100.00%,765,"Francisella philomiragia 99.74%
Francisella philomiragia subsp. philomiragia ATCC 25015 99.74%
Francisella noatunensis 98.70%
Francisella orientalis 98.31%
Francisella hispaniensis FSC454 97.52%
Francisella tularensis subsp. novicida 97.39%
Francisella tularensis subsp. novicida U112 97.39%
Francisella tularensis 97.26%
Francisella tularensis subsp. mediasiatica FSC147 97.26%
Francisella tularensis subsp. mediasiatica 97.26%
Francisella salimarina 97.72%
Francisella halioticida 97.59%
Francisella persica 97.04%
Allofrancisella guangzhouensis 95.43%
Allofrancisella inopinata 95.06%"
AQP 4313,Bacteria,"Gordonia phthalatica 98.40%
Gordonia humi 98.16%",98.40%,100.00%,813,"Gordonia phthalatica 98.40%
Gordonia humi 98.16%
Gordonia malaquae 97.91%
Gordonia hydrophobica 97.79%
Gordonia amicalis 97.67%
Gordonia neofelifaecis 97.67%
Gordonia hongkongensis 97.55%
Gordonia didemni 97.55%
Gordonia desulfuricans 97.42%
Gordonia terrae 97.30%
Gordonia bronchialis DSM 43247 97.30%
Gordonia rubripertincta 97.30%
Gordonia hankookensis 97.30%
Gordonia defluvii 97.30%
Gordonia amarae 97.30%
Gordonia effusa 97.05%
Gordonia soli 96.82%
Gordonia namibiensis 96.81%
Gordonia cholesterolivorans 96.81%
Gordonia lacunae 96.71%"
AQP 9507,Bacteria,"Halomonas aestuarii 97.63%
Halomonas shengliensis 97.63%
Halomonas aidingensis 97.51%
Halomonas saccharevitans 97.51%",97.63%,100.00%,802,"Halomonas aestuarii 97.63%
Halomonas shengliensis 97.63%
Halomonas aidingensis 97.51%
Halomonas saccharevitans 97.51%
Halomonas maura 97.14%
Halomonas ventosae 97.14%
Halomonas nitroreducens 97.01%
Halomonas alimentaria 97.01%
Halomonas denitrificans 96.89%
Halomonas salina 96.89%
Halomonas fontilapidosi 96.89%
Halomonas halophila 96.77%
Halomonas smyrnensis 96.77%
Halomonas organivorans 96.77%
Halomonas stenophila 96.39%
Halomonas gudaonensis 96.39%
Halomonas koreensis 97.19%
Halomonas mongoliensis 97.05%
Halomonas caseinilytica 96.14%
Halomonas campaniensis 96.01%"
AQP 9558,Bacteria,Halomonas lutescens,99.72%,100.00%,705,"Halomonas lutescens 99.72%
Halomonas lionensis 99.29%
Halomonas venusta 99.27%
Halomonas meridiana 99.12%
Halomonas alkaliphila 99.12%
Halomonas andesensis 99.12%
Halomonas zhaodongensis 98.97%
Halomonas aquamarina 98.97%
Halomonas titanicae BH1 98.98%
Halomonas axialensis 98.97%
Halomonas hydrothermalis 98.83%
Halomonas sulfidaeris Esulfide1 98.68%
Halomonas songnenensis 98.68%
Halomonas nigrificans 98.68%
Halomonas profundus 98.68%
Halomonas alkaliantarctica 98.68%
Halomonas boliviensis 98.68%
Halomonas glaciei 98.53%
Halomonas neptunia 98.24%
Halovibrio variabilis 98.24%"
AQP 9381,Bacteria,"Halomonas meridiana 99.24%
Halomonas aquamarina 99.24%
Halomonas axialensis 99.05%",99.24%,100.00%,525,"Halomonas meridiana 99.24%
Halomonas aquamarina 99.24%
Halomonas axialensis 99.05%
Halomonas boliviensis 98.29%
Halomonas alkaliantarctica 98.10%
Halomonas glaciei 97.90%
Halomonas songnenensis 97.71%
Halomonas neptunia 97.52%
Halovibrio variabilis 97.52%
Halomonas titanicae BH1 97.52%
Halomonas andesensis 97.52%
Halomonas nanhaiensis 97.33%
Halomonas arcis 97.33%
Halomonas sulfidaeris Esulfide1 97.33%
Halomonas janggokensis 97.14%
Halomonas subterranea 97.31%
Halomonas malpeensis 96.95%
Halomonas massiliensis 96.95%
Halomonas lutescens 96.78%
Halomonas zhaodongensis 96.76%"
AQP 9615,Bacteria,"Halomonas meridiana 99.31%
Halomonas aquamarina 99.31%
Halomonas axialensis 99.31%
Halomonas alkalitolerans 99.30%",99.31%,98.63%,146,"Halomonas meridiana 99.31%
Halomonas aquamarina 99.31%
Halomonas axialensis 99.31%
Halomonas alkalitolerans 99.30%
Halomonas glaciei 97.92%
Halomonas alkaliantarctica 97.22%
Halomonas boliviensis 97.22%
Halomonas neptunia 97.22%
Halomonas janggokensis 96.53%
Halomonas nanhaiensis 96.53%
Halovibrio variabilis 96.53%
Halomonas andesensis 96.53%
Halomonas massiliensis 96.48%
Halomonas zhanjiangensis 96.48%
Halomonas xinjiangensis 96.48%
Halomonas songnenensis 95.83%
Halomonas arcis 95.83%
Halomonas subterranea 96.43%
Larsenimonas salina 95.77%
Halomonas salicampi 95.77%"
AQP 9618,Bacteria,"Halomonas meridiana 99.40%
Halomonas aquamarina 99.40%
Halomonas axialensis 99.28%",99.40%,100.00%,832,"Halomonas meridiana 99.40%
Halomonas aquamarina 99.40%
Halomonas axialensis 99.28%
Halomonas songnenensis 98.80%
Halomonas alkaliantarctica 98.56%
Halomonas boliviensis 98.56%
Halomonas glaciei 98.44%
Halomonas andesensis 98.44%
Halomonas zhaodongensis 98.32%
Halomonas neptunia 98.20%
Halomonas sulfidaeris Esulfide1 98.20%
Halomonas lutescens 98.09%
Halomonas nanhaiensis 98.08%
Halomonas arcis 98.08%
Halomonas titanicae BH1 97.96%
Halomonas venusta 97.96%
Halomonas lionensis 97.96%
Halovibrio variabilis 97.96%
Halomonas subterranea 98.07%
Halomonas janggokensis 97.84%"
AQP 9436,Bacteria,"Halomonas meridiana 99.44%
Halomonas aquamarina 99.44%
Halomonas axialensis 99.30%",99.44%,100.00%,716,"Halomonas meridiana 99.44%
Halomonas aquamarina 99.44%
Halomonas axialensis 99.30%
Halomonas lutescens 99.02%
Halomonas lionensis 99.02%
Halomonas titanicae BH1 98.89%
Halomonas songnenensis 98.88%
Halomonas zhaodongensis 98.88%
Halomonas boliviensis 98.88%
Halomonas sulfidaeris Esulfide1 98.74%
Halomonas profundus 98.74%
Halomonas alkaliantarctica 98.74%
Halomonas glaciei 98.61%
Halomonas venusta 98.61%
Halomonas alkaliphila 98.61%
Halomonas andesensis 98.61%
Halomonas hydrothermalis 98.47%
Halomonas neptunia 98.33%
Halomonas nanhaiensis 98.33%
Halovibrio variabilis 98.33%"
AQP 9527,Bacteria,Halomonas lutescens 99.26%,99.26%,100.00%,811,"Halomonas lutescens 99.26%
Halomonas lionensis 98.89%
Halomonas alkaliphila 98.28%
Halomonas zhaodongensis 98.15%
Halomonas venusta 98.15%
Halomonas nigrificans 99.36%
Halomonas hydrothermalis 97.78%
Halomonas alkaliantarctica 97.78%
Halomonas andesensis 97.78%
Halomonas meridiana 97.54%
Halomonas boliviensis 97.54%
Halomonas aquamarina 97.41%
Halomonas johnsoniae 97.41%
Halomonas stevensii S18214 98.71%
Halomonas axialensis 97.41%
Halomonas neptunia 97.29%
Halomonas hamiltonii 98.58%
Halomonas titanicae BH1 97.17%
Halomonas sulfidaeris Esulfide1 98.33%
Halomonas songnenensis 98.33%"
AQP 9437,Bacteria,"Halomonas meridiana 99.63%
Halomonas aquamarina 99.63%
Halomonas axialensis 99.51%",99.63%,100.00%,809,"Halomonas meridiana 99.63%
Halomonas aquamarina 99.63%
Halomonas axialensis 99.51%
Halomonas boliviensis 98.76%
Halomonas alkaliantarctica 98.64%
Halomonas glaciei 98.52%
Halomonas songnenensis 98.64%
Halomonas andesensis 98.52%
Halomonas neptunia 98.27%
Halomonas sulfidaeris Esulfide1 98.27%
Halomonas nanhaiensis 98.15%
Halomonas lutescens 98.03%
Halomonas zhaodongensis 98.14%
Halovibrio variabilis 98.02%
Halomonas titanicae BH1 98.02%
Halomonas arcis 98.02%
Halomonas janggokensis 97.90%
Halomonas venusta 97.90%
Halomonas lionensis 98.02%
Halomonas alkaliphila 97.90%"
AQP 4987,Bacteria,"Halomonas saccharevitans 96.34%
Halomonas aestuarii 96.16%",96.34%,100.00%,571,"Halomonas saccharevitans 96.34%
Halomonas aestuarii 96.16%
Halomonas shengliensis 95.99%
Halomonas aidingensis 95.81%
Halomonas maura 95.48%
Halomonas salina 95.30%
Halomonas denitrificans 95.29%
Halomonas halophila 95.30%
Halomonas smyrnensis 95.30%
Halomonas organivorans 95.30%
Halomonas nitroreducens 95.30%
Halomonas alimentaria 95.29%
Halomonas ventosae 95.74%
Halomonas fontilapidosi 95.74%
Halomonas koreensis 95.42%
Halomonas campaniensis 95.21%"
AQP 9385,Bacteria,"Halomonas shengliensis 96.74%
Halomonas aestuarii 96.51%
Halomonas aidingensis 96.51%
Halomonas saccharevitans 96.50%",96.74%,100.00%,429,"Halomonas shengliensis 96.74%
Halomonas aestuarii 96.51%
Halomonas aidingensis 96.51%
Halomonas saccharevitans 96.50%
Halomonas alimentaria 95.81%
Halomonas ventosae 95.58%
Halomonas denitrificans 95.35%
Halomonas salina 95.35%
Halomonas fontilapidosi 95.35%
Halomonas maura 96.39%
Halomonas campisalis 95.35%
Halomonas nitroreducens 95.13%"
AQP 9384,Bacteria,"Halomonas subterranea 98.51%
Halomonas janggokensis 98.39%
Halomonas arcis 98.27%",98.51%,100.00%,807,"Halomonas subterranea 98.51%
Halomonas janggokensis 98.39%
Halomonas arcis 98.27%
Halomonas meridiana 98.02%
Halomonas aquamarina 98.02%
Halomonas axialensis 98.02%
Halomonas gomseomensis 97.89%
Halomonas salicampi 97.78%
Halomonas boliviensis 97.89%
Halomonas alkaliantarctica 97.52%
Halomonas songnenensis 97.40%
Halomonas neptunia 97.40%
Halomonas glaciei 97.40%
Halomonas andesensis 97.27%
Halovibrio variabilis 97.15%
Halomonas sulfidaeris Esulfide1 97.03%
Halomonas massiliensis 96.91%
Halomonas titanicae BH1 96.91%
Halomonas zhaodongensis 96.79%
Halomonas nanhaiensis 96.65%"
AQP 9495,Bacteria,"Hoeflea alexandrii 96.96%
Hoeflea halophila 96.72%",96.96%,100.00%,822,"Hoeflea alexandrii 96.96%
Hoeflea halophila 96.72%
Hoeflea phototrophica 96.11%
Hoeflea olei 96.63%
Aliihoeflea aestuarii 95.26%
Hoeflea anabaenae 96.11%
Phyllobacterium phragmitis 95.13%
Hoeflea marina 95.61%"
AQP 9566,Bacteria,"Idiomarina abyssalis 99.64%
Idiomarina loihiensis 99.17%",99.64%,100.00%,842,"Idiomarina abyssalis 99.64%
Idiomarina loihiensis 99.17%
Idiomarina ramblicola 98.58%
Idiomarina piscisalsi 96.92%
Idiomarina zobellii 96.68%
Idiomarina fontislapidosi 96.32%
Idiomarina baltica OS145 96.20%
Idiomarina aquatica 95.74%
Pseudidiomarina salinarum 95.15%"
AQP 9572,Bacteria,"Idiomarina fontislapidosi 99.28%
Idiomarina baltica 99.17%",99.28%,100.00%,839,"Idiomarina fontislapidosi 99.28%
Idiomarina baltica OS145 99.17%
Idiomarina aquatica 96.67%
Idiomarina piscisalsi 96.32%
Idiomarina zobellii 96.20%
Idiomarina loihiensis 95.84%
Idiomarina seosinensis 95.84%
Idiomarina abyssalis 95.71%
Idiomarina ramblicola 95.50%"
AQP 9531,Bacteria,"Idiomarina fontislapidosi 99.54%
Idiomarina baltica 99.23%",99.54%,100.00%,647,"Idiomarina fontislapidosi 99.54%
Idiomarina baltica OS145 99.23%
Idiomarina aquatica 96.46%
Idiomarina zobellii 95.84%
Idiomarina piscisalsi 95.85%
Idiomarina seosinensis 95.38%
Idiomarina loihiensis 95.24%"
AQP 9509,Bacteria,"Idiomarina fontislapidosi 99.54%
Idiomarina baltica 99.20%",99.54%,100.00%,873,"Idiomarina fontislapidosi 99.54%
Idiomarina baltica OS145 99.20%
Idiomarina aquatica 96.81%
Idiomarina piscisalsi 96.36%
Idiomarina zobellii 96.24%
Idiomarina loihiensis 95.91%
Idiomarina abyssalis 95.78%
Idiomarina seosinensis 95.79%
Idiomarina ramblicola 95.57%"
AQP 9601,Bacteria,"Idiomarina fontislapidosi 99.87%
Idiomarina baltica 99.61%",99.87%,100.00%,770,"Idiomarina fontislapidosi 99.87%
Idiomarina baltica OS145 99.61%
Idiomarina aquatica 97.15%
Idiomarina piscisalsi 96.51%
Idiomarina zobellii 96.37%
Idiomarina seosinensis 96.24%
Idiomarina loihiensis 95.99%
Idiomarina abyssalis 95.84%
Idiomarina ramblicola 95.61%
Pseudidiomarina aquimaris 95.45%
Pseudidiomarina homiensis 95.08%"
AQP 9420,Bacteria,Idiomarina loihiensis,99.49%,100.00%,791,"Idiomarina loihiensis 99.49%
Idiomarina ramblicola 98.74%
Idiomarina abyssalis 98.74%
Idiomarina piscisalsi 96.97%
Idiomarina zobellii 96.72%
Idiomarina fontislapidosi 95.83%
Idiomarina aquatica 95.59%
Idiomarina baltica OS145 95.47%"
AQP 9483,Bacteria,Idiomarina loihiensis,99.74%,100.00%,768,"Idiomarina loihiensis 99.74%
Idiomarina ramblicola 99.09%
Idiomarina abyssalis 98.70%
Idiomarina piscisalsi 96.89%
Idiomarina zobellii 96.63%
Idiomarina fontislapidosi 95.98%
Idiomarina baltica OS145 95.73%
Idiomarina aquatica 95.60%
Pseudidiomarina homiensis 95.06%
Pseudidiomarina halophila 95.07%
Pseudidiomarina aquimaris 95.16%"
AQP 9494,Bacteria,Idiomarina loihiensis,99.77%,100.00%,853,"Idiomarina loihiensis 99.77%
Idiomarina ramblicola 99.18%
Idiomarina abyssalis 98.83%
Idiomarina zobellii 96.96%
Idiomarina piscisalsi 97.16%
Idiomarina fontislapidosi 96.14%
Idiomarina baltica OS145 96.03%
Idiomarina aquatica 95.91%"
AQP 9579,Bacteria,Idiomarina loihiensis,99.65%,100.00%,859,"Idiomarina loihiensis 99.65%
Idiomarina ramblicola 98.84%
Idiomarina abyssalis 98.72%
Idiomarina piscisalsi 97.10%
Idiomarina zobellii 96.86%
Idiomarina fontislapidosi 96.05%
Idiomarina baltica OS145 95.94%
Idiomarina aquatica 95.82%
Pseudidiomarina salinarum 95.01%"
AQP 9617,Bacteria,Idiomarina loihiensis,99.47%,100.00%,757,"Idiomarina loihiensis 99.47%
Idiomarina ramblicola 98.55%
Idiomarina abyssalis 98.42%
Idiomarina piscisalsi 96.57%
Idiomarina zobellii 96.31%
Idiomarina fontislapidosi 95.65%
Idiomarina baltica OS145 95.39%
Idiomarina aquatica 95.26%"
AQP 9516,Bacteria,Idiomarina piscisalsi,97.04%,95.48%,354,"Idiomarina piscisalsi 97.04%
Idiomarina zobellii 96.75%
Idiomarina ramblicola 96.45%
Idiomarina loihiensis 96.15%
Idiomarina abyssalis 95.56%"
AQP 9523,Bacteria,Idiomarina piscisalsi,99.24%,100.00%,788,"Idiomarina piscisalsi 99.24%
Idiomarina zobellii 98.86%
Idiomarina aquatica 97.08%
Idiomarina loihiensis 96.84%
Idiomarina fontislapidosi 96.46%
Idiomarina ramblicola 96.22%
Idiomarina abyssalis 96.21%
Idiomarina baltica OS145 96.19%
Idiomarina seosinensis 97.33%"
AQP 9511,Bacteria,"Idiomarina piscisalsi 98.97%
Idiomarina zobellii 98.62%",98.97%,100.00%,290,"Idiomarina piscisalsi 98.97%
Idiomarina zobellii 98.62%
Idiomarina loihiensis 97.93%
Idiomarina ramblicola 97.25%
Idiomarina abyssalis 97.24%
Idiomarina fontislapidosi 96.90%
Idiomarina baltica OS145 96.55%
Idiomarina aquatica 95.86%"
AQP 9502,Bacteria,"Idiomarina piscisalsi 99.26%
Idiomarina zobellii 99.13%",99.13%,100.00%,687,"Idiomarina zobellii 99.13%
Idiomarina piscisalsi 99.26%
Idiomarina aquatica 96.94%
Idiomarina loihiensis 96.81%
Idiomarina fontislapidosi 96.23%
Idiomarina ramblicola 96.09%
Idiomarina baltica OS145 95.94%
Idiomarina abyssalis 95.94%
Idiomarina seosinensis 95.92%"
